"Original_molecule_SMILES"	"CID"	"CSID"	"Structure_ID"	"Supplier"	"Supplier_ID"	"Supplier_Molname"	"Supplier_Data_1"	"Supplier_Data_2"	"Supplier_Data_3"
"53"	"Br.COC1=CC2=C(C=C1)N=CC=C2C(O)C1CC2CCN1CC2C=C"	11068	"10597"	4083	"John Hopkins"	"JHU- 12535"	NA	"Therapeutic area: Antimalarial"	NA	NA
"54"	"[Br-].C[N+]1(C)C2CC(CC1C1OC21)OC(=O)C(CO)C1=CC=CC=C1"	16757702	NA	4734	"John Hopkins"	"JHU- 12556"	NA	"Therapeutic area: Antispasmodic"	NA	NA
"55"	"[Br-].CCCC[N+]1(C)C2CC(CC1C1OC21)OC(=O)C(CO)C1=CC=CC=C1"	9889433	NA	1714	"John Hopkins"	"JHU- 12557"	NA	"Therapeutic area: Antispasmodic"	NA	NA
"56"	"OC1CC(=CC(O)C1O)C(O)=O"	1094	"1063"	7477	"John Hopkins"	"JHU- 12566"	NA	"Therapeutic area: N/A"	NA	NA
"57"	"COC1=CC2=C3C(CC4=CC(OC5=CC=C(CC6N(C)CCC7=CC(OC)=C(OC3=C1OC)C=C67)C=C5)=C(OC)C=C4)N(C)CC2"	5422	"5229"	3990	"John Hopkins"	"JHU- 12602"	NA	"Therapeutic area: Analgesic"	NA	NA
"58"	"CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1C)C(O)=O"	220774	"191497"	4406	"John Hopkins"	"JHU- 12647"	NA	"Therapeutic area: N/A"	NA	NA
"59"	"OC1CCCCC1N1CCC(CC1)C1=CC=CC=C1"	5662	"5460"	7479	"John Hopkins"	"JHU- 12798"	NA	NA	NA	NA
"60"	"NC1=C2N=CN(C3OC4COP(O)(=O)OC4C3O)C2=NC=N1"	274	"268"	6876	"John Hopkins"	"JHU- 12805"	NA	NA	NA	NA
"61"	"CN(CC1=NC2=C(N=C1)N=C(N)N=C2N)C1=CC=C(C=C1)C(=O)NC(CCC(O)=O)C(O)=O"	4112	"3969"	2727	"John Hopkins"	"JHU- 12807"	NA	NA	NA	NA
"62"	"C1CCC(NC1)C1=CN=CC=C1"	2181	"21106257"	132	"John Hopkins"	"JHU- 12810"	NA	NA	NA	NA
"63"	"CCCCCCC1C(OC(=O)CC(C)C)C(C)OC(=O)C(NC(=O)C2=C(O)C(NC=O)=CC=C2)C(C)OC1=O"	12550	"12032"	1626	"John Hopkins"	"JHU- 12811"	NA	NA	NA	NA
"64"	"COC1=C(O)C=C2CC3N(C)CCC4=CC(O)=C(OC)C(C2=C1)=C34"	248507	"217564"	3577	"John Hopkins"	"JHU- 12827"	NA	NA	NA	NA
"65"	"OC(=O)C=CC1=CC(O)=C(O)C=C1"	2518	"600426"	7651	"John Hopkins"	"JHU- 12828"	NA	NA	NA	NA
"66"	"OC(=O)C=CC1=CC(O)=C(O)C=C1"	2518	"600426"	7651	"LOPAC"	"C0625"	"Caffeic Acid; 3,4-Dihydroxycinnamic acid"	"Antioxidant; inhibits the synthesis of leukotrienes that are involved in immunoregulation and inflammation"	NA	NA
"67"	"OC(=O)C=CC1=CC(O)=C(O)C=C1"	2518	"600426"	7651	"Prestwick"	"Prestw-902"	"Caffeic acid"	NA	NA	NA
"68"	"OC(=O)C=CC1=CC(O)=C(O)C=C1"	2518	"600426"	7651	"Spectrum"	"01503987"	NA	"CAS: 331-39-5 Source: widespread in plants Status: undetermined activity"	NA	NA
"69"	"O.OS(O)(=O)=O.NC(CCON=C(N)N)C(O)=O"	53399044	"26463998"	6494	"John Hopkins"	"JHU- 12830"	NA	NA	NA	NA
"70"	"OC1CC(O)(CC(OC(=O)C=CC2=CC(O)=C(O)C=C2)C1O)C(O)=O"	348159	"4475041"	7481	"John Hopkins"	"JHU- 12836"	NA	NA	NA	NA
"71"	"CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO"	439739	"388799"	4692	"John Hopkins"	"JHU- 12844"	NA	NA	NA	NA
"72"	"CC12C(CCC1(O)C1CCC3CC(O)CCC3(C)C1CC2O)C1=CC(=O)OC1"	608640	"529067"	4475	"John Hopkins"	"JHU- 12851"	NA	NA	NA	NA
"73"	"OC(C(O)C(O)=O)C(O)=O.CN1CC(CC2C1CC1=CNC3=C1C2=CC=C3)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O.CN1CC(CC2C1CC1=CNC3=C1C2=CC=C3)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O"	44134676	"28571957"	4958	"John Hopkins"	"JHU- 12853"	NA	NA	NA	NA
"74"	"CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4CC5=CNC6=C5C(=CC=C6)C4=C3)(OC2(O)C2CCCN2C1=O)C(C)C"	99049	"89473"	750	"John Hopkins"	"JHU- 12859"	NA	NA	NA	NA
"75"	"CC(CCC(=O)NCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C"	755	"735"	4479	"John Hopkins"	"JHU- 12868"	NA	NA	NA	NA
"76"	"OC(C(O)C(O)=O)C(O)=O.CC(C)NCC(O)C1=CC(O)=C(O)C=C1"	26792	"24959"	879	"John Hopkins"	"JHU- 12885"	NA	NA	NA	NA
"77"	"CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C"	500165	"437560"	4482	"John Hopkins"	"JHU- 12893"	NA	NA	NA	NA
"78"	"CS(=N)(=O)CCC(N)C(O)=O"	16118	"15302"	4232	"John Hopkins"	"JHU- 12901"	NA	NA	NA	NA
"79"	"OC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(O)C=C2O"	932	"907"	7686	"John Hopkins"	"JHU- 12916"	NA	NA	NA	NA
"80"	"OC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(O)C=C2O"	932	"907"	7686	"Prestwick"	"Prestw-466"	"Naringenine"	NA	NA	NA
"81"	"CC1=C/CCC2(C)OC2C2OC(=O)C(=C)C2CC1"	4692	"4510242"	5068	"John Hopkins"	"JHU- 12923"	NA	NA	NA	NA
"82"	"CN(C)CCC(C1=CC=C(Br)C=C1)C1=NC=CC=C1"	6834	"6573"	4749	"John Hopkins"	"JHU- 1413"	NA	"Therapeutic area: Antihistaminic"	NA	NA
"83"	"COC1=C(OC)C=C2C(=C1)N1C3C4C(CC1=O)OCC=C1CN5CCC23C5CC41"	220520	"191250"	3618	"John Hopkins"	"JHU- 1433"	NA	"Therapeutic area: Nootropic"	NA	NA
"84"	"CC(C)(C)C1(O)CCN2CC3C4=C(CCC5=C3C(=CC=C5)C2C1)C=CC=C4"	1224	"1187"	540	"John Hopkins"	"JHU- 1499"	NA	"Therapeutic area: Antipsychotic"	NA	NA
"85"	"CC(C=CC(O)C1CC1)C1CCC2C(CCCC12C)=CC=C1/CC(O)CC(O)C1=C"	2522	"28575269"	4535	"John Hopkins"	"JHU- 1589"	NA	"Therapeutic area: Dermatologic"	NA	NA
"86"	"CC(=O)OCC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C"	11276	"10802"	350	"John Hopkins"	"JHU- 16"	NA	"Therapeutic area: Antiinflammatory"	NA	NA
"87"	"CC1(C)C2CCC1(C)C(=O)C2"	2537	"2441"	1163	"John Hopkins"	"JHU- 1667"	NA	"Therapeutic area: Analgesic, Therapeutic plant extract"	NA	NA
"88"	"CC12CCC3C(C=CC4=CC(=O)CCC34C)C1CCC2(O)CCC(O)=O"	4872	"4706"	4645	"John Hopkins"	"JHU- 1691"	NA	"Therapeutic area: Diuretic"	NA	NA
"89"	"CC12CCC3C(C=CC4=CC(=O)CCC34C)C1CCC21CCC(=O)O1"	319260	"282625"	4646	"John Hopkins"	"JHU- 1692"	NA	"Therapeutic area: Diuretic"	NA	NA
"90"	"COC1=C(O)C=CC(CNC(=O)CCCCC=CC(C)C)=C1"	2548	"1265957"	3415	"John Hopkins"	"JHU- 1709"	NA	"Therapeutic area: Analgesic, Dermatologic"	NA	NA
"91"	"COC1=C(O)C=CC(CNC(=O)CCCCC=CC(C)C)=C1"	2548	"1265957"	3415	"Spectrum"	"01501128"	NA	"CAS: 404-86-4 Source: Capsicum spp Status: USP Literature: J Chem Soc 1955: 1025; Life Sci 25: 1273 (1979); Trends Pharmacol Sci 11: 330 (1990) Therapeutic area: analgesic (topical), depletes Substance P, neurotoxic"	NA	NA
"92"	"COC1=C(O)C=CC(CNC(=O)CCCCC=CC(C)C)=C1"	2548	"1265957"	3415	"Tocris"	"0462"	"(E)-Capsaicin"	"CAS: 404-86-4"	"Prototypic vanilloid receptor agonist "	NA
"93"	"CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC(=O)CCC(O)=O"	2561	"552190"	1166	"John Hopkins"	"JHU- 1743"	NA	"Therapeutic area: Antiulcerative"	NA	NA
"94"	"CC(CC1=CC(O)=C(O)C=C1)(NN)C(O)=O"	2563	"2465"	4462	"John Hopkins"	"JHU- 1750"	NA	"Therapeutic area: Antiparkinsonian"	NA	NA
"95"	"CC(CC1=CC(O)=C(O)C=C1)(NN)C(O)=O"	2563	"2465"	4462	"Spectrum"	"01502150"	NA	"CAS: 38821-49-7, 28860-95-9 [anhydrous] Source: synthetic Status: USP, INN, BAN, JAN Therapeutic area: decarboxylase inhibitor, antiparkinsonism"	NA	NA
"96"	"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"	60961	"54923"	6882	"John Hopkins"	"JHU- 176"	NA	"Therapeutic area: Antiarrhythmic"	NA	NA
"97"	"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"	60961	"54923"	6882	"MIPE"	"NCGC00023673-08"	NA	"CAS:58-61-7"	"Mechanism: Adenosine Receptor Agonist"	"Source: Selleck/S1647"
"98"	"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"	60961	"54923"	6882	"Spectrum"	"01500107"	NA	"CAS: 58-61-7 Source: widespread in living tissue Status: USP, BAN Therapeutic area: antiarrhythmic, cardiac depressant "	NA	NA
"99"	"COC1C(CC(=O)OC(C)CC2OC2C=CC(=O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(C1O)N(C)C)OC(C)=O"	457814	"4450165"	3291	"John Hopkins"	"JHU- 1767"	NA	"Therapeutic area: Antibiotic"	NA	NA
"100"	"CN1N=NN=C1SCC1=C(N2C(SC1)C(NC(=O)C(O)C1=CC=CC=C1)C2=O)C(O)=O"	2614	"2515"	6069	"John Hopkins"	"JHU- 1853"	NA	"Therapeutic area: Antibiotic"	NA	NA
"101"	"CC1=NN=C(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)CN2C=NN=N2)C3=O)C(O)=O)S1"	33255	"30723"	5680	"John Hopkins"	"JHU- 1860"	NA	"Therapeutic area: Antibiotic"	NA	NA
"102"	"NC1=NC(=CS1)C(=NO)C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O"	6398970	"5291705"	6598	"John Hopkins"	"JHU- 1868"	NA	"Therapeutic area: Antibiotic"	NA	NA
"103"	"NC1=NC(=CS1)C(=NO)C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O"	6398970	"5291705"	6598	"MIPE"	"NCGC00178499-03"	NA	"CAS:91832-40-5"	"Mechanism: Cephalosporin antibiotic"	"Source: Selleck/S1605"
"104"	"NC1=NC(=CS1)C(=NO)C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O"	6398970	"5291705"	6598	"NIHCC"	"SAM001246818"	"GPHR-00104239"	NA	NA	NA
"105"	"NC1=NC(=CS1)C(=NO)C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O"	6398970	"5291705"	6598	"Spectrum"	"01505208"	NA	"CAS: 91832-40-5 Source: semisynthetic; CL-983, FK-482 Status: USAN, INN, BAN Therapeutic area: antibacterial"	NA	NA
"106"	"NC1=NC(=CS1)C(=NOCC(O)=O)C(=O)NC1C2SCC(C=C)=C(N2C1=O)C(O)=O"	2675	"4758421"	6806	"John Hopkins"	"JHU- 1879"	NA	"Therapeutic area: Antibiotic"	NA	NA
"107"	"CO[C@]1(NC(=O)CSCC#N)C2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O"	6708469	NA	3309	"John Hopkins"	"JHU- 1884"	NA	"Therapeutic area: Antibiotic"	NA	NA
"108"	"CCN1CCN(C(=O)NC(C(=O)NC2C3SCC(CSC4=NN=NN4C)=C(N3C2=O)C(O)=O)C2=CC=C(O)C=C2)C(=O)C1=O"	2630	"2530"	1941	"John Hopkins"	"JHU- 1890"	NA	"Therapeutic area: Antibiotic"	NA	NA
"109"	"NCC1=C(CC(=O)NC2C3SCC(CSC4=NN=NN4CC(O)=O)=C(N3C2=O)C(O)=O)C=CC=C1"	5229712	"4399741"	8005	"John Hopkins"	"JHU- 1891"	NA	"Therapeutic area: Antibiotic"	NA	NA
"110"	"CN(C)CCN1N=NN=C1SCC1=C(N2C(SC1)C(NC(=O)CC1=CSC(N)=N1)C2=O)C(O)=O"	2635	"2535"	4817	"John Hopkins"	"JHU- 1896"	NA	"Therapeutic area: Antibiotic"	NA	NA
"111"	"COCC1=C(N2C(SC1)C(NC(=O)C(=N/OC)C1=CSC(N)=N1)C2=O)C(=O)OC(C)OC(=O)OC(C)C"	2645	"4746909"	3207	"John Hopkins"	"JHU- 1907"	NA	"Therapeutic area: Antibiotic"	NA	NA
"112"	"NC(=O)C1=CC=[N+](CC2=C(N3C(SC2)C(NC(=O)C(C2=CC=CC=C2)S(O)(=O)=O)C3=O)C(O)=O)C=C1"	2649	NA	6385	"John Hopkins"	"JHU- 1912"	NA	"Therapeutic area: Antibiotic"	NA	NA
"113"	"CON=C(/C(=O)NC1C2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)C1=CC=CO1"	2659	"7875349"	3323	"John Hopkins"	"JHU- 1928"	NA	"Therapeutic area: Antibiotic"	NA	NA
"114"	"CC1=C(N2C(SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O"	6710679	"5142831"	1217	"John Hopkins"	"JHU- 1962"	NA	"Therapeutic area: Antibiotic"	NA	NA
