"Structure_ID"	"Hypergeo_pval"	"Original_molecule_SMILES"	"Supplier"	"Supplier_ID"	"Supplier_Molname"	"Supplier_Data_1"	"Supplier_Data_2"	"Supplier_Data_3"
"11"	"21"	"1"	"BrC1=C(N=C2NN=C(NC(=O)C3CC3)C2=C1)C1=NC=CS1"	"PKIS2"	"SB-742251"	NA	NA	NA	NA
"12"	"22"	"1"	"BrC1=C(N=C2NN=C(NC(=O)C3CCCC3)C2=C1)C1=CC=CS1"	"PKIS2"	"SB-743341"	NA	NA	NA	NA
"13"	"23"	"1"	"BrC1=C(N=C2NN=C(NC(=O)C3CCCC3)C2=C1)C1=NC=CS1"	"PKIS2"	"SB-742609"	NA	NA	NA	NA
"14"	"24"	"1"	"O[C@H]([C@@H](O)C(O)=O)C(O)=O.BrC1=C(N=C2NN=C(NC(=O)C3CCN(CC4=CC=CC=C4)C3)C2=C1)C1=CC=CO1"	"PKIS2"	"SB-742034-AC"	NA	NA	NA	NA
"15"	"26"	"1"	"Cl.Cl.BrC1=CC=C(C=CCNCCNS(=O)(=O)C2=CC=CC3=CN=CC=C23)C=C1"	"LOPAC"	"B1427"	"H-89; N-[2-(p-Bromocinnamylamino)ethyl]-5-isoquinolinesulfonamide dihydrobromide"	"cAMP-dependent protein kinase (PKA) inhibitor"	NA	NA
"16"	"27"	"1"	"BrC1=CC=C(C=C1)C1=CSC(N1)=NC1=NC(=CS1)C1=CC=C(Br)C=C1"	"NCI"	"GPHR-00220761"	NA	NA	NA	NA
"17"	"31"	"1"	"BrC1=CC=C(C=C1)N=NC1=NC2=CC=CC=C2C=C1"	"NCI"	"GPHR-00220680"	NA	NA	NA	NA
"18"	"33"	"1"	"OC(=O)C(O)=O.[H][C@@]1(CN2CCSC2=N1)C1=CC=C(Br)C=C1"	"LOPAC"	"190047"	"S(-)-p-Bromotetramisole oxalate; R 30402 oxalate"	"Potent alkaline phosphatase inhibitor"	NA	NA
"19"	"34"	"1"	"[H]N1C(=O)C(=CC(=O)C2=CC=CC=C2)C2=C1C=CC(Br)=C2"	"NCI"	"GPHR-00221249"	NA	NA	NA	NA
"20"	"35"	"1"	"[H]N1C(=O)C(=NC2=CN=CC=C2)C2=CC(Br)=CC=C12"	"NCI"	"GPHR-00220497"	NA	NA	NA	NA
"21"	"36"	"1"	"BrC1=CC=C2OCC3=NOC(=O)N3C2=C1"	"LOPAC"	"N211"	"NS 2028; 4H-8-Bromo-1,2,4-oxadiazolo(3,4-d)benz(b)(1,4)oxazin-1-one"	"Specific soluble guanylyl cyclase inhibitor"	NA	NA
"22"	"37"	"1"	"BrC1=CC2=C(NC3=C2CC(=O)NC2=CC=CC=C32)C=C1"	"LOPAC"	"K3888"	"Kenpaullone; NSC 664704"	"Potent inhibitor of CDK1/cyclin B, CDK2/cyclin A, CDK2/cyclin E, and CDK5/p25 "	NA	NA
"23"	"38"	"1"	"BrC1=CC(NC(=O)C2=CC=CC(=C2)S(=O)(=O)N2CCCCCC2)=CC=C1"	"MIPE"	"NCGC00347936-01"	NA	"CAS:420831-40-9"	"Mechanism: Histone Deacetylase SIRT2 Inhibitors "	"Source: XcessBio/M60107"
"24"	"39"	"1"	"BrC1=CC=CC=C1NC(=O)NC1=C2N=NNC2=C(C=C1)C#N"	"MIPE"	"NCGC00242491-02"	NA	"CAS:211096-49-0"	"Mechanism: CXCR2 Antagonist"	"Source: Tocris/Cat. No. 2724"
"25"	"40"	"1"	"BrC1=CN(CC2(CC(=C)C(=O)O2)C2=CC=C(C=C2)C2=CC=CC=C2)C(=O)NC1=O"	"NCI"	"GPHR-00221406"	NA	NA	NA	NA
"26"	"42"	"1"	"BrC1=CN=CC(=C1)C(=O)N1CCC(CC1)N1CCCC1"	"MIPE"	"NCGC00347957-01"	NA	"CAS:314241-44-5"	"Mechanism: L3MBTL3 methyllysine (Kme) reader domain inhibitor"	"Source: XcessBio/M60083"
"27"	"44"	"1"	"C#CCCCCCCCCCCCC1=CC=CO1"	"Spectrum"	"01505808"	NA	"CAS: 24708-33-6 Source: Persea spp and Elodia canadensis Status: undetermined activity Literature: Tetrahedron 25:4617(1969); An Acad Brasil Cienc 42 (suplemento): 45 (1970)"	NA	NA
"28"	"45"	"1"	"[H]N1C(SCC#C)=NN=C1C1=CC=CO1"	"NCI"	"GPHR-00219977"	NA	NA	NA	NA
"29"	"46"	"1"	"C#CCN[C@@H]1CCC2=C1C=CC=C2"	"MIPE"	"NCGC00168774-01"	NA	"CAS:161735-79-1
136236-51-6 (free base)"	"Mechanism: MAO-B Inhibitor"	"Source: Selleck/S2102"
"30"	"47"	"1"	"[Na+].[Na+].[Fe++].[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+]"	"LOPAC"	"S0501"	"Sodium nitroprusside dihydrate; Sodium nitroferricyanide"	"Releases NO in vivo, thus activating guanylyl cyclase, ADP-ribosyltransferase, and cyclooxygenase and inhibiting lipoxygenase"	NA	NA
"31"	"49"	"1"	"C(=CC1=NC=CC=C1)C1=NC=CC=C1"	"NCI"	"GPHR-00219540"	NA	NA	NA	NA
"32"	"54"	"1"	"C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1"	"MIPE"	"NCGC00018261-05"	NA	"CAS:6621-47-2"	"Mechanism: mitochondrial carnitine palmitoyltransferase-1 inhbitior"	NA
"33"	"55"	"1"	"OC(=O)C=C/C(O)=O.C(C(N1CCCCC1)C1=CC=CC=C1)C1=CC=CC=C1"	"Tocris"	"0360"	"()-1-(1,2-Diphenylethyl)piperidine maleate"	"CAS: 36794-52-2"	"NMDA antagonist, acts ion channel site "	NA
"34"	"56"	"0.690140845070422"	"Cl.C(C1=NCCN1)C1=CC2=C(C=CC=C2)C=C1"	"LOPAC"	"N5504"	"Naphazoline hydrochloride; 2-(1-Naphthylmethyl)imidazoline nitrate"	"alpha-Adrenoceptor agonist; imidazoline receptor agonist; vasoconstrictor"	NA	NA
"35"	"57"	"1"	"Cl.C(C1=NCCN1)C1=CC=CC=C1"	"NIHCC2"	"CPD000149600"	"CPD000149600
Priscoline
."	"Pubchem SID:104170110"	NA	NA
"36"	"58"	"1"	"Br[H].Br[H].C(C1CCNCC1)C1=CNC=N1"	"Tocris"	"0932"	"Immepip dihydrobromide"	"CAS: 164391-47-3"	" histamine H3 agonist. Also H4 agonist"	NA
"37"	"59"	"1"	"C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=C1C=CC=C2"	"NCI"	"GPHR-00220625"	NA	NA	NA	NA
"38"	"60"	"1"	"Br.Br.Br.Br.C(CC1CCNCC1)CC1=CNC=N1"	"Tocris"	"2493"	"VUF 5681 dihydrobromide"	NA	"H3 receptor silent antagonist"	NA
"39"	"62"	"1"	"OC(=O)C=C/C(O)=O.C(CCC1=CC=CC=C1)CN1CCC(CC1)C1=CC=CC=C1"	"Tocris"	"0620"	"4-PPBP maleate"	NA	"Sigma ligand, NMDA receptor antagonist "	NA
"40"	"65"	"1"	"C(CN1CCOCC1)OC1=CC=C(C=C1)C1=CC(=CC=N1)C1=CNN=C1C1=CC=CC=N1"	"PKIS1"	"GW695874X"	NA	"Discovery of 4-{4-[3-(pyridin-2-yl)-1H-pyrazol-4-yl]pyridin-2-yl}-N-(tetrahydro-2H- pyran-4-yl)benzamide (GW788388): a potent, selective, and orally active transforming growth factor-beta type I recep
tor inhibitor.    Journal of medicinal chemistry  (2006),  49(7),  2210-21."	NA	NA
"41"	"66"	"1"	"C(CN1CCOCC1)OC1=CC=C2C(=C1)N=CC=C2C1=C2CCCN2N=C1C1=NC=CC=C1"	"MIPE"	"NCGC00242598-03"	NA	"CAS:700874-71-1"	"Mechanism: TGF-bR1 (ALK5) and TGFbR2 inhibitor"	"Source: in house synthesis
Selleck/S2704"
"42"	"68"	"1"	"OC(=O)C=C/C(O)=O.OC(=O)C=C/C(O)=O.C(CNC1=NC2=C(S1)C=CC=C2)COC1=CC=CC(CN2CCCCC2)=C1"	"LOPAC"	"S5317"	"SKF 95282 dimaleate; N-[3-[3-(1-Piperidinylmethyl)phenoxy]propyl]-2-benzothiazolamine dimaleate; Zolantidine"	"H2 Histamine receptor antagonist."	NA	NA
"43"	"69"	"1"	"C(CNC1=NC=CC(=N1)C1=C2C=CC=NN2N=C1)CN1CCOCC1"	"PKIS1"	"GW683109X"	NA	"Synthesis and evaluation of pyrazolo[1,5-b]pyridazines as selective cyclin dependent kinase inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2008),  18(21),  5758-5762."	NA	NA
"44"	"70"	"1"	"C(COCC1=CC=CC=C1)CC1=CN=CN1"	"Tocris"	"2477"	"Proxyfan"	"CAS: 177708-09-7"	"Histamine H3 receptor ligand"	NA
"45"	"71"	"1"	"OC(=O)C=C/C(O)=O.C(COC1=CC=C2OCOC2=C1)CN1CCN(CC1)C1=CC=CC=C1"	"Tocris"	"0556"	"BP 554 maleate"	"CAS: 82900-57-0"	"5-HT1A agonist "	NA
"46"	"74"	"0.572769953051642"	"Cl.Cl.C(CN1CCCCC1)OC1=CC=C(C=C1)C1=CN2N=CC(=C2N=C1)C1=CC=NC=C1"	"MIPE"	"NCGC00165869-03"	NA	"CAS:1219168-18-9"	"Mechanism: TGF-bR1 (ALK5) inhibitor, BMPR/AMPK inhibitor"	"Source: Tocris/Cat. No. 3093"
"47"	"76"	"0.408450704225352"	"Cl.Cl.C(CN1CCN(CCOC(C2=CC=CC=C2)C2=CC=CC=C2)CC1)CC1=CC=CC=C1"	"LOPAC"	"G9659"	"GBR-12935 dihydrochloride; 1-[2-(Diphenylmethoxy)ethyl]-4-(3-phenylpropyl)-piperazine dihydrochloride"	"Dopamine reuptake inhibitor"	NA	NA
"48"	"77"	"1"	"Cl[H].Cl[H].C(CN1CCN(CC=CC2=CC=CC=C2)CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1"	"Tocris"	"0513"	"GBR 12783 dihydrochloride"	"CAS: 67469-57-2"	" Dopamine uptake inhibitor "	NA
"49"	"78"	"1"	"C(CN1CCOCC1)CC1=CC=C(COC2=CC=CC=C2)C=C1"	"John Hopkins"	"JHU- 4341"	NA	"Therapeutic area: Anesthetic"	NA	NA
"50"	"79"	"1"	"Cl.Cl.C(CNC(C1=CC=CC=C1)C1=CC=CC=C1)NC(C1=CC=CC=C1)C1=CC=CC=C1"	"Tocris"	"2385"	"AMN 082"	"CAS: 83027-13-8"	"mGlu7 agonist"	NA
"51"	"82"	"1"	"C(CN1C=CN=C1)OC1=CC=C(C=C1)C1=CC(=CC=N1)C1=CNN=C1C1=CC=CC=N1"	"PKIS1"	"GW711782X"	NA	"Discovery of 4-{4-[3-(pyridin-2-yl)-1H-pyrazol-4-yl]pyridin-2-yl}-N-(tetrahydro-2H- pyran-4-yl)benzamide (GW788388): a potent, selective, and orally active transforming growth factor-beta type I recep
tor inhibitor.    Journal of medicinal chemistry  (2006),  49(7),  2210-21."	NA	NA
"52"	"83"	"1"	"OP(O)(O)=O.C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1"	"John Hopkins"	"JHU- 12036"	NA	"Therapeutic area: Antihistaminic"	NA	NA
"53"	"84"	"1"	"Cl.C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NC=CN1"	"LOPAC"	"A9899"	"Antozoline hydrochloride; 2-(N-Benzylanilinomethyl)-2-imidazoline hydrochloride"	"Imidazoline agonist; more potent than efaroxan in inducing insulin release from beta cells; H1 histamine receptor antagonist"	NA	NA
"54"	"85"	"1"	"C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1"	"MIPE"	"NCGC00165722-02"	NA	"CAS:110078-46-1 (anhydrous, free base)"	"Mechanism: Chemokine CXCR4 (SDF-1 Receptor) Antagonists , Chelating agent"	"Source: Selleck/S3013"
"55"	"86"	"1"	"Cl.Cl.Cl.C(N1CCN(CC1)C1=CC=CC=N1)C1=NC2=C(N1)C=CC=C2"	"Tocris"	"2214"	"ABT 724 trihydrochloride"	"CAS: 70006-24-5"	" dopamine D4 partial agonist; proerectile"	NA
"56"	"87"	"1"	"C(N1CCN(CC1)C1=NC2=C(S1)C=CC=C2)C1=CC=C2OCOC2=C1"	"Tocris"	"0736"	"2-[1-(4-Piperonyl)piperazinyl]benzothiazole"	NA	"5-HT4 agonist. Also 5-HT3 antagonist"	NA
"57"	"88"	"1"	"OC(=O)C=C/C(O)=O.C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1"	"LOPAC"	"P9233"	"Piribedil maleate; 2-(4-[1,3-Benzodioxol-5-ylmethyl]-1-piperazinyl)pyrimidine"	"Non-selective dopamine receptor agonist"	NA	NA
"58"	"89"	"1"	"Cl.C(N1CCOCC1)C1=CC=C(C=C1)C1=NC=CC(=C1)C1=CNN=C1C1=CC=CC=N1"	"PKIS2"	"GW776245A"	NA	NA	NA	NA
"59"	"94"	"1"	"C(NC1=NC2=CC=CC=C2C(NCC2=CC=CC=C2)=N1)C1=CC=CC=C1"	"MIPE"	"NCGC00347066-01"	NA	NA	"Mechanism: p97 ATPase Inhibitor"	"Source: KU"
"60"	"96"	"1"	"C(NC1=NC=NC2=C1NC=N2)C1=CC=CC=C1"	"Prestwick"	"Prestw-189"	"Aminopurine, 6-benzyl"	NA	NA	NA
"61"	"97"	"1"	"C(NC1=C2NC=NC2=NC=N1)C1=CC=CO1"	"John Hopkins"	"JHU- 12865"	NA	NA	NA	NA
"62"	"98"	"1"	"C(NC1=NC=NC2=C1C(=C(O2)C1=CC=CC=C1)C1=CC=CC=C1)[C@@H]1CCCO1"	"MIPE"	"NCGC00347279-01"	NA	"CAS:873305-35-2"	"Mechanism: ACK1/TNK2 Inhibitor, Androgen receptor inhibitor"	"Source: AxonMedChem/2031"
"63"	"101"	"0.690140845070422"	"C(OC1=C(C=CC=C1)C1CC1)C1=NCCN1"	"John Hopkins"	"JHU- 2263"	NA	"Therapeutic area: Antidepressant"	NA	NA
"64"	"102"	"1"	"C(SC1=NC2=C(S1)C=CC=C2)SC1=NC2=C(S1)C=CC=C2"	"NCI"	"GPHR-00220396"	NA	NA	NA	NA
"65"	"104"	"1"	"C(SC1=NC2=C(N=N1)C1=C(C=CC=C1)C1=C2C=CC=C1)C1=CC=CC=C1"	"NCI"	"GPHR-00220790"	NA	NA	NA	NA
"66"	"105"	"1"	"C(N1CCC(CC1)N1N=CC2=C(N=C(N=C12)C1=CC2=C(NC=C2)C=C1)N1CCOCC1)C1=CC=CN=C1"	"MIPE"	"NCGC00346634-01"	NA	"CAS:1062159-35-6"	"Mechanism: mTOR inhibitor, FRAP1"	"Source: Selleck/S2689"
"67"	"106"	"1"	"Cl.C(N1CCC2(CCCC3=CC=CC=C23)CC1)C1=CC=CC=C1"	"LOPAC"	"L8539"	"L-687,384 hydrochloride; 1'-Benzyl-3,4-dihydrospiro[naphthalene-1-(2H),4'-piperidine] hydrochloride"	"Putative sigma-1 receptor agonist"	NA	NA
"68"	"107"	"1"	"OC(=O)C=C/C(O)=O.C(N1CCC2(CCC3=C2C=CC=C3)CC1)C1=CC=CC=C1"	"Tocris"	"0426"	"L-693,403 maleate"	"CAS: 137730-52-0"	"Sigma ligand"	NA
"69"	"109"	"1"	"C(NC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CN=C1"	"Tocris"	"2661"	"UCL 2077"	NA	"Slow afterhyperpolarisation (sAHP) channel blocker"	NA
"70"	"110"	"1"	"C(NC1CCOCC1)C1=CC=C(C=C1)C1=NC=CC(=C1)C1=CNN=C1C1=CC=CC=N1"	"PKIS2"	"GW709213X"	NA	NA	NA	NA
"71"	"111"	"1"	"C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1"	"John Hopkins"	"JHU- 2226"	NA	"Therapeutic area: Antihistaminic"	NA	NA
"72"	"112"	"1"	"C(C1=CNC2=CC=CC=C12)C1=CNC2=C1C=CC=C2"	"MIPE"	"NCGC00095348-07"	NA	"CAS:5/4/68"	"Mechanism: Androgen Receptor Antagonist, Aryl Hydrocarbon Receptor (AhR) Agonists
Indoleamine 2,3-dioxygenase Inhibitors "	"Source: Sigma/D9568-5G"
"73"	"113"	"1"	"Br.Br.C(C1=CN=CN1)C1=CC=NC=C1"	"Tocris"	"2315"	"Immethridine"	"CAS: 87976-03-2"	"histamine H3 agonist, over H4"	NA
"74"	"114"	"1"	"Cl.C(N1C=CC2=CC(NC3=NC=NC4=C3C=CC=C4)=CC=C12)C1=CC=CC=C1"	"PKIS2"	"GW275568A"	NA	NA	NA	NA
"75"	"115"	"1"	"C(N1C=CN=C1)C1=CC=CC=C1"	"NIHCC"	"SAM001246858"	"GPHR-00104220"	NA	NA	NA
"76"	"116"	"1"	"Cl.C(N1C=NC2=C1C=CC(NC1=C3C=CC=CC3=NC=N1)=C2)C1=CC=CC=C1"	"PKIS2"	"GW272142A"	NA	NA	NA	NA
"77"	"119"	"1"	"Cl.C(C1=NC2=CC=C(NC3=NC=NC4=CC=CC=C34)C=C2N1)C1=CC=CC=C1"	"PKIS1"	"GR269666A"	NA	"Indazolylamino quinazolines and pyridopyrimidines as inhibitors of the EGFr and c-erbB-2.    Bioorganic & Medicinal Chemistry Letters  (2001),  11(11),  1401-1405."	NA	NA
"78"	"121"	"1"	"Cl.Cl.C1CC(CCN1)OC1=C(C=C2C=CN=CC2=C1)C1=CC=CC=C1"	"PKIS2"	"GSK1122999D"	NA	NA	NA	NA
"79"	"122"	"0.690140845070422"	"C1CC1C(NC1=NCCO1)C1CC1"	"LOPAC"	"R134"	"Rilmenidine hemifumarate; N-(Dicyclopropylmethyl)-4,5-dihydro-2-oxazolamine;
Oxaminozoline"	"Selective I1 imidazoline receptor agonist."	NA	NA
"80"	"123"	"0.690140845070422"	"C1CC1C(NC1=NCCO1)C1CC1"	"MIPE"	"NCGC00015884-09"	NA	"CAS:54187-04-1"	"Mechanism: Imidazoline I1 Receptor Agonists, hypertension treatment"	"Source: Selleck/S1427"
"81"	"124"	"1"	"C1CC1NC1=NC=CC(=N1)C1=C2C=CC(=NN2N=C1)N1CCOCC1"	"PKIS1"	"GW708336X"	NA	"Synthesis and evaluation of pyrazolo[1,5-b]pyridazines as selective cyclin dependent kinase inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2008),  18(21),  5758-5762."	NA	NA
"82"	"125"	"1"	"[H]N1C2=CC=CC3=CC=CC(N([H])C11CCC4(CC1)N([H])C1=CC=CC5=CC=CC(N4[H])=C15)=C23"	"NCI"	"GPHR-00220558"	NA	NA	NA	NA
"83"	"127"	"1"	"Cl.C1CCC(CC1)NC(=NC12CC3CC(CC(C3)C1)C2)N1CCOCC1"	"Tocris"	"2095"	"PNU 37883 hydrochloride"	"CAS: 57568-80-6"	"Vascular KATP channel blocker"	NA
"84"	"128"	"1"	"C1CCC(CC1)NC1=C2N=CNC2=NC(NC2=CC=C(C=C2)N2CCOCC2)=N1"	"MIPE"	"NCGC00165880-04"	NA	"CAS:656820-32-5"	"Mechanism: Adenosine A3 Antagonists, Aurora-B (ARK2) Kinase Inhibitors
Aurora-A (ARK1) Kinase Inhibitors 
cell lineage reversal initiator"	"Source: in house synthesis"
"85"	"129"	"1"	"C1CCC(CC1)NC1=NC(OC2=CC=CC=C2)=NC2=C1N=CN2"	"Tocris"	"2403"	"MRS 3777"	NA	"A3 adenosine antagonist"	NA
"86"	"130"	"0.408450704225352"	"CS(O)(=O)=O.C1CCC(CC1)C1=CC2=C(C=C1)N1CCNC3CCCC2=C13"	"Tocris"	"0723"	"Tetrindole mesylate"	"CAS: 135991-95-6"	"MAO-A inhibitor "	NA
"87"	"131"	"1"	"C1CCC(CC1)N1C=NC2=C(NC3=CC=C(C=C3)N3CCOCC3)N=C(OC3=CC=CC4=C3C=CC=C4)N=C12"	"MIPE"	"NCGC00344053-01"	NA	"CAS:483367-10-8"	"Mechanism: lineage-specific differentiation enhancer"	"Source: Cayman/10009634"
"88"	"132"	"1"	"C1CCC(NC1)C1=CN=CC=C1"	"John Hopkins"	"JHU- 12810"	NA	NA	NA	NA
"89"	"133"	"1"	"C1CC[C@@H](NC1)C1=CN=CC=C1"	"Prestwick"	"Prestw-669"	"Anabasine"	NA	NA	NA
"90"	"134"	"1"	"[H]N1CCCC[C@H]1C1=CC=CN=C1"	"NCI"	"GPHR-00219641"	NA	NA	NA	NA
"91"	"135"	"1"	"Cl.C1CCN(CC1)C1(CCCCC1)C1=CC2=C(S1)C=CC=C2"	"LOPAC"	"B138"	"BTCP hydrochloride"	"Selective blocker of dopamine reuptake"	NA	NA
"92"	"138"	"1"	"Cl[H].C1CCC2=C(C1)N1CCNCC3=CC=CC2=C13"	"Tocris"	"2173"	"WAY 629"	"CAS: 57756-45-3"	"5-HT2C agonist"	NA
"93"	"142"	"0.572769953051642"	"C1CN(CCN1)C1=CC=C(C=C1)C1=CN2N=CC(=C2N=C1)C1=C2C=CC=CC2=NC=C1"	"MIPE"	"NCGC00249389-01"	NA	"CAS:1062368-24-4"	"Mechanism: Activin Receptor Like Kinase 3 (ALK3; BMPR-IA) Inhibitors, Activin Receptor Like Kinase 2 (ALK2; ActR-IA) Inhibitors "	"Source: Selleck/S2618"
"94"	"143"	"1"	"OC(=O)C=CC(O)=O.C1CN(CCN1)C1=NC2=C(C=CC=C2)C=C1"	"John Hopkins"	"JHU- 8605"	NA	"Therapeutic area: Antidepressant"	NA	NA
"95"	"144"	"1"	"Cl.C1CN(CCN1)C1=CC=CC2=C1OCCO2"	"Tocris"	"1860"	"Eltoprazine"	"CAS: 98224-03-4"	"5-HT1 receptor agonist/partial agonist"	NA
"96"	"145"	"1"	"Cl.C1CN(CCN1)C1=CC=CC2=CC=CC=C12"	"LOPAC"	"S003"	"1-(1-Naphthyl)piperazine hydrochloride"	"5-HT2 serotonin receptor antagonist"	NA	NA
"97"	"147"	"1"	"Cl.C1CN2CC(N=C2S1)C1=CC=CC=C1"	"John Hopkins"	"JHU- 9971"	NA	"Therapeutic area: Anthelminithic"	NA	NA
"98"	"149"	"1"	"Cl.[H][C@@]1(CN2CCSC2=N1)C1=CC=CC=C1"	"LOPAC"	"L9756"	"(-)-Tetramisole hydrochloride; Levamisole hydrochloride"	"Inhibits multiple mammalian alkaline phosphatases"	NA	NA
"99"	"151"	"1"	"Cl[H].C1CN=C(N1)C1=NC=C2C=CC=CC2=C1"	"Tocris"	"1091"	"BU 226 hydrochloride"	NA	" I2  imidazoline ligand"	NA
"100"	"152"	"1"	"Cl[H].C1CN=C(N1)C1=CC2=CC=CC=C2O1"	"Tocris"	"0348"	"2-BFI hydrochloride"	"CAS: 89196-95-2"	" I2 ligand. Putative agonist"	NA
"101"	"153"	"1"	"Cl.C1CN=C(N1)C1=NC2=CC=CC=C2C=C1"	"LOPAC"	"B154"	"BU224 hydrochloride; 2-(4,5-Dihydroimidazol-2-yl)-quinoline hydrochloride"	"I2 Imidazoline receptor antagonist"	NA	NA
"102"	"154"	"1"	"Cl[H].C1CN=C(N1)C1=NC2=CC=CC=C2N=C1"	"Tocris"	"0726"	"BU 239 hydrochloride"	"CAS: 187753-87-3"	" I2 imidazoline ligand"	NA
"103"	"156"	"1"	"[H]N1CCN([H])C2=C1C=CC(=C2)C1=CC=CC=C1"	"NCI"	"GPHR-00219799"	NA	NA	NA	NA
"104"	"157"	"1"	"C1COC2=CC(NC3=NC=CC(=N3)C3=C4C=CC(=NN4N=C3)C3=CC=CC=C3)=CC=C2O1"	"PKIS2"	"GW818941X"	NA	NA	NA	NA
"105"	"158"	"1"	"C1COC2=CC(NC3=NC=CC(=N3)C3=C4C=CC=NN4N=C3)=CC=C2O1"	"PKIS1"	"GW806290X"	NA	"N-Phenyl-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amines as Potent and Selective Inhibitors of Glycogen Synthase Kinase 3 with Good Cellular Efficacy.    Journal of Medicinal Chemistry  (2004),  47(
19),  4716-4730."	NA	NA
"106"	"160"	"1"	"C1CN=C(N1)C1CCCC2=C1C=CC=C2"	"John Hopkins"	"JHU- 9969"	NA	"Therapeutic area: Decongestant"	NA	NA
"107"	"161"	"0.690140845070422"	"C1CN=C(N1)C1COC2=C(O1)C=CC=C2"	"John Hopkins"	"JHU- 4994"	NA	"Therapeutic area: Antiparkinsonian"	NA	NA
"108"	"163"	"1"	"C1CNC(C1)C1=CC=CN=C1"	"NIHCC"	"SAM001247026"	"GPHR-00104028"	NA	NA	NA
"109"	"165"	"1"	"Cl.Cl.[H][C@@]12CCCN[C@]1([H])C1CCC2N2CCC3=C(NC4=C3C=CC=C4)[C@@]12[H]"	"Prestwick"	"Prestw-685"	"Nitrarine dihydrochloride"	NA	NA	NA
"110"	"167"	"1"	"C1CC2=C(C1)C(=NN2)C1=NNN=N1"	"MIPE"	"NCGC00263122-01"	NA	"CAS:851776-28-8"	"Mechanism: Nicotinic Acid Receptor Partial Agonist"	"Source: ChemAxon/Axon 1576"
"111"	"168"	"1"	"C1CC2=C(CN1)NC1=CC=CC=C21"	"NIHCC"	"SAM001246862"	"GPHR-00104207"	NA	NA	NA
